ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1123,Cottle County,Government ,2023,,,815 9th Street,Paducah,TX,79248,-100.3018364,34.01400801,,Community Planning,https://connectednation.org/community-engagements/cottle-county-texas,,,,
1124,Cotton County,Government ,2025,,,100 E Main Street,Walters,OK,73572,-98.3209067,34.3621093,,Community Planning,https://connectednation.org/community-engagements/Cotton-County-oklahoma,,,,
1125,Crittenden County Senior Center,Senior Center,2025,,,210 N. Walker Street ,Marion,KY,42064,-88.07824732,37.33462631,18,CN DST Workshops,,,,,
1126,Cross Community Center,Community Center,,,,1690 Old Hwy 6,Cross,SC,29436,-80.19254728,33.36382449,,Teens Teach Teach,,,,,
1127,Cross Roads Recovery,Rehabilitation Center,2025,,,225 N Laurel Road ,London,KY,40741,-84.10358102,37.14664692,32,CN DST Workshops,,,,,
1128,Culberson County Nutrition Center,Non-Profit,2025,,,1206 W Broadway St.,VanHorn,TX,79855,-104.8452413,31.03867373,52,CN DST Workshops,,,,,
1129,Culpeper Literacy,Non-Profit,2025,"11/04/2025, 11/05/2025, 11/06/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Video Conferencing",415 South Main Street,Culpeper,VA,22701,-77.99700707,38.47090099,,CN DST Workshops,,,,,
1130,Cumberland County Senior Citizen Center,Senior Center,2025,,,213 Upper River Street ,Burkesville,KY,42714,-85.36849311,36.78893868,0,CN DST Workshops,,,,,
1131,Cumberland Hope Center,Non-Profit,2025,,,6050 HWY 38 ,Evarts,KY,40828,-83.22478986,36.85180019,76,CN DST Workshops,,,,,
1132,Cumberland Public Library,Public Library,2023,,,114 Hill St,Burkesville,KY,42717,-85.37139752,36.790719,2,CN DST Workshops,,,,,
1133,Cynthiana-Harrison County Public Library,Public Library,2023,,,104 N Main St,Cynthiana,KY,41031,-84.2973702,38.39088672,10,CN DST Workshops,,,,,
1134,Dallas Innovation Alliance,Non-Profit,2025,,,4907 Spring Ave,Dallas,TX,75210,-96.73855776,32.77743526,26,Teens Teach Teach,https://youtu.be/YLIlojQ0i00?si=4zPCcTRL_0zPWhff,,,,
1135,Dandridge Senior Center ,Senior Center,2025,,,917 Elliott Ferry Rd.,Dandridge,TN,37725,-83.40257421,36.02305334,8,CN DST Workshops,,,,,
1136,Decatur Public Library,Public Library,2025,,,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,23,CN DST Workshops,https://www.youtube.com/watch?v=ppksC7a4H0E,,,,
1137,Destin Senior Center,Senior Center,2025,,,108 Stahlman Ave,Destin,FL,32541,-86.50926938,30.39619813,66,CN DST Workshops,,,,,
1138,DeWitt County,Government ,2021,,,115 N Gonzales St,Cuero,TX,77954,-97.28988901,29.09061303,,Community Planning,https://connectednation.org/community-engagements/DeWitt-County-texas,,,,
1139,Digital Education Foundation,Non-Profit,2025,,,945 20th Street South (Mt Zion Human Services),St Petersburg,FL,33712,-82.65998746,27.75973868,51,CN DST Workshops,,,,,
1140,Digital LatinX Leaders Now,Non-Profit,,,,3842 S Calumet Ave,Chicago,IL,60653,-87.61824085,41.8243754,,Teens Teach Teach,,,,,
1141,Digital Works Class - SA Hope Center,Non-Profit,2025,,,321 N General McMullen Dr,San Antonio,TX,78237,-98.5535278,29.435592,70,CN DST Workshops,,,,,
1142,Donley County,Government ,2021,,,100 E Washington Ave,Clarendon,TX,79226,-100.9058724,34.9371624,,Community Planning,https://connectednation.org/community-engagements/Donley-County-texas,,,,
1143,Dover/Camden Book Club ,Social Club,2022,,,,Dover,DE,19001,-75.5211386,39.1588277,7,CN DST Workshops,,,,,
1144,Downtown Women's Center,Community Center,2024,,,333 S Los Angeles St,Los Angeles,CA,90013,-118.2455391,34.04771411,7,CN DST Workshops,,,,,
1145,Dress for Success,Non-Profit,2023,,,600 Pine St # 310,Seattle,WA,98101,-122.3351477,47.61229889,22,CN DST Workshops,,,,,
1146,East Memphis High School - DECA,School,2024,,,3206 Poplar Ave,Memphis,TN,38114,-89.95471991,35.13044075,1680,Teens Teach Teach,,,,,
1147,East Sac County FBLA,School Club,2025,,,801 Jackson St,Lake View,IA,51450,-95.05542441,42.31046401,31,Teens Teach Teach,,,,,
1148,Eastern UP ISD,School,2023,,,315 Armory Pl,Sault Ste. Marie,MI,49783,-84.34336833,46.49746696,51,CN DST Workshops,,,,,
1149,Edgewater Recovery Center - Female,Rehabilitation Center,2024,,,445 Clinic Drive ,Morehead,KY,40351,-83.45039674,38.18198073,9,CN DST Workshops,,,,,
1150,EDUCATE Career Builders,Workforce Development,,,,1411 Highway 50 W #1005,Pueblo,CO,81008,-104.6258049,38.30900735,,Teens Teach Teach,,,,,
1151,Egypt Baptist Church,Place of Worship,2024,,,12559 HWY 421 S. ,Tyner,KY,40486,-83.90157657,37.31599083,48,CN DST Workshops,,,,,
1152,Element Education Inc,Business,2025,,,1441 Montiel Rd Suite 143,Escondido,CA,92026,-117.1102776,33.12912688,20,Teens Teach Teach,,,,,
1153,Elkhorn Senior Center,Senior Center,2024,,,1035 W Russell St,Elkhorn,KY,41522,-82.36289376,37.29550126,12,CN DST Workshops,,,,,
1154,Elliott County Senior Citizen Center,Senior Center,"2023, 2024",,,101 KY-7,Sandy Hook,KY,41171,-83.13116886,38.08336692,12,CN DST Workshops,,,,,
1155,Ellis County,Government ,2023,,,109 S Jackson Street,Waxahachie,TX,75165,-96.84685714,32.38480324,,Community Planning,https://connectednation.org/community-engagements/ellis-county-texas,,,,
1156,Elsmere Community Center,Community Center,2024,,,179 Dell St. ,Elsmere,KY,41018,-84.60104924,39.01134356,25,CN DST Workshops,,,,,
